REGION,MINERALS,SITE NAME,lat,lon,COMPANY NAME
Brong Ahafo,Aluminium,Ashanti Aluminium occurrence,7.9608,-1.2058,
Brong Ahafo,Aluminium,Kibi Aluminium occurrence,7.9608,-1.2058,
Brong Ahafo,Aluminium,Nyinahin Aluminum Occurrence,7.9608,-1.2058,
Brong Ahafo,Aluminium,Sefwi Hills Aluminum Occurrence,7.9608,-1.2058,
Brong Ahafo,Aluminium,Atewa Range,7.9608,-1.2058,
Brong Ahafo,Aluminium,Nyinahin Aluminum Occurrence,7.9608,-1.2058,
Brong Ahafo,Aluminium,Kumasi Aluminum Occurrence,7.9608,-1.2058,
Brong Ahafo,Diamond,Ghana Consolidated Diamond Mine,7.9608,-1.2058,Ghana Consolidated Diamond Mine
Brong Ahafo,Gold,Ahafo mine,7.0261,-2.35106,Newmont Gold Ghana
Brong Ahafo,Gold,State Gold Mining Mine,7.9608,-1.2058,
Brong Ahafo,Manganese,Yakau-Himakrom Manganese Occurrence,7.9608,-1.2058,
Brong Ahafo,Manganese,Aserebusu Manganese Occurrence,7.9608,-1.2058,
Brong Ahafo,Manganese,Buabinso Manganese Occurrence,7.9608,-1.2058,
Brong Ahafo,Manganese,Aketechi Manganese Occurrence,7.9608,-1.2058,
Brong Ahafo,Manganese,Kapili Hill Manganese Occurrence,7.9608,-1.2058,
Brong Ahafo,Silica,Brong Ahafo Silica Mines,7.9608,-1.2058,
Brong Ahafo,Titanium,Brong Ahafo Titanium Mines,7.9608,-1.2058,
Western,Meteorite,Bosumtwi meteorite,6.5,-1.416667,
Western,Aluminium,Awaso Aluminum Deposit,6.2344,-2.2652,
Western,Aluminium,Awaso Aluminum Mine,6.2344,-2.2818,
Western,Gold,"Tom collins mine,Obuasi, Ashanti gold belt",6.23305556,-1.64972222,
Western,Gold,"Blackie's mine, Obuasi, Ashanti gold belt",6.23305556,-1.64972222,
Western,Gold,"Ayeimn mine,Obuasi, Ashanti gold belt",6.23305556,-1.64972222,
Western,Gold,"Ashanti mine, Ashanti gold belt",6.23305556,-1.64972222,
Western,Gold,"Bokitsi mine, Dunkwa, Ashanti gold belt",6.23305556,-1.64972222,
Western,Gold,Dunkwa state gold mine,6.23305556,-1.64972222,
Western,Gold,"Ayanfuri mine,Ashanti gold belt",5.96111,-1.89722,
Western,Gold,"Pampe deposit,Ashanti gold belt",5.65,-2.11667,
Western,Gold,"Birum River, Bogoso",5.63333,-2.05,Golden star resources
Western,Gold,Chirano Gold mine,6.3112179,-2.3844798,Chirano Gold mine Limited
Western,Gold,"Damang mine, Tarkwa, Ashanti gold belt",5.51639,-1.8425,Gold fields
Western,Gold,"Nsuta Mine, Tarkwa",5.28333,-1.96667,
Western,Gold,Bibiani Gold mine,6.47558557,-2.30516535,AngloGold Ashanti
Western,Gold,Yamfo-Sefwi deposit,7.21948,-2.2362,
Western,Gold,"Romaso, Ashanti gold belt",6.3361111,-2.01416667,
Western,Gold,"Akyempim, Ashanti gold belt",5.48389,-1.73306,
Western,Gold,Golden star Akyempim Gold mine,5.4825,-1.71833,
Western,Gold,"Akyiempim Wassa Gold mine,Ashanti gold belt",5.49417,-1.71806,Golden star resources
Western,Gold,"Affoh-sefwi,Bekwai district",6.23305556,-2.66667,
Western,Gold,"Dompim,Bonsa River, Bonsa diamond field",5.1,-1.666667,
Western,Gold,Yakau mine,4.83333,-1.966667,
Western,Gold,"Bonsa River, Bonsa diamond field",5.26515,-2.14861,
Western,Gold,Bonsa diamond field,5.26667,-2.15,
Western,Gold,"Konongo, Ashanti gold belt",6.61667,-1.21667,
Western,Gold,Konongo-southern cross mine,6.62083333,-1.21666667,
Western,Gold,"Obenemase, Ashanti gold belt",6.686381,-1.16706066,
Western,Gold,"Dunkwa, Ashanti gold belt",5.96974,-1.78405,
Western,Gold,"Obuasi, Ashanti gold belt",6.20221,-1.69089,AngloGold Ashanti
Western,Gold,"Obussi south mine,Ashanti gold belt",6.23305556,-1.64972222,
Western,Gold,"Justice mine, Ashanti gold mine",6.23305556,-1.64972222,
Western,Gold,"Old chief mine,Obuasi,Ashanti gold belt",6.23305556,-1.64972222,
Western,Gold,"Cote d'Or mine, Ashanti gold belt",6.23305556,-1.64972222,
Western,Gold,Asanko gold mine,6.34058,-1.98557,
Western,Gold,Prestea Gold Mine,5.4553,-2.1777,Golden star resources
Western,Gold,Teberebie Project,5.2679,-2.0485,AngloGold Ashanti
Western,Gold,Brumasi-Buesichem Gold Prospect,5.5678,-2.0068,
Western,Gold,Abosso Gold Prospect,5.3679,-1.9485,
Western,Gold,Tarkwa Gold Mine,5.3178,-1.9818,Gold fields
Western,Gold,Prestea Gold Mine,5.4511,-2.1318,
Western,Gold,Iduapriem Gold Mine And Mill,5.2429,-2.0402,AngloGold Ashanti
Western,Gold,Tarkwa Mill,5.5014,-2.0154,Gold fields
Western,Gold,Bogosu Gold Project,5.5761,-2.0027,
Western,Manganese,Buabinso Manganese Occurrence,5.7471,-2.4134,
Western,Manganese,Nsutu Manganese Mine,5.2512,-2.1652,
Western,Manganese,Nsuta Manganese Mine,5.2345,-1.9485,
Western,Platinum,Axim Fort Platinum Occurrence,4.8695,-2.2399,
Western,Silver,Brumasi-Buesichem Gold Prospect,5.5678,-2.0068,
Western,Silver,Abosso Gold Prospect,5.3679,-1.9485,
Western,Silver,Tarkwa Mill,5.5014,-2.0154,Gold fields
Ashanti,Aluminium,Ashanti Aluminum Mines(Nyinahin Aluminum Prospect),6.6427,-2.2152,
Ashanti,Chromium,Ashanti Chromium Mines(Mount Ahito Chromium Prospect),7.2593,-0.9318,
Ashanti,Gold,Odumase Manganese Mine,6.8096,-1.4436,
Ashanti,Gold,Benso Gold Prospect,6.2511,-1.5985,
Ashanti,Gold,Esaase Concession-Bonte Placer Proj Gold Prospect,6.5469,-1.7777,
Ashanti,Gold,Nzema Gold mine ,4.9674654,-1.7271945,Endeavor Mining Company
Ashanti,Gold,Tlekeu-Bokazo Gold Prospect,6.751,-1.5818,
Ashanti,Gold,Ashanti Gold Mine,6.2344,-1.6485,
Ashanti,Gold,Dunkwa Alluvial Operations,6.0094,-1.586,
Ashanti,Gold,Ashanti Obuasi Concession Mill,6.4511,-1.7068,
Ashanti,Gold,Diaso Gold Concession Gold Prospect,6.2511,-1.5985,
Ashanti,Gold,Konongo-Obenemase-Pepe Gold Mine,6.6303,-1.1443,
Ashanti,Gold,Sansu Project Obuasi Concession Leach Plant,6.4511,-1.7068,
Ashanti,Gold,Bibiani Gold Prospect,6.5011,-2.1318,
Ashanti,Gold,Mampon-Dunkwa Exploration Property,7.101,-1.3318,
Ashanti,Iron,Nyinahin Aluminum Prospect,6.6427,-2.2152,
Ashanti,Manganese,Odumase Manganese Mine,6.8096,-1.4436,
Ashanti,Silica,Nyinahin Aluminum Prospect,6.6427,-2.2152,
Ashanti,Silver,Ashanti Obuasi Concession Mill,6.4511,-1.7068,
Ashanti,Silver,Ashanti Gold Mine,6.2344,-1.6485,
Ashanti,Silver,Nyinahin Aluminum Prospect,6.6427,-2.2152,
Ashanti,Titanium,Nyinahin Aluminum Prospect,6.6427,-2.2152,
Northern,Gold,Du,10.49972,-0.98917,
Northern,Gold,Daboya,9.52847,-1.38764,
Northern,Gold,South Korupe Gold Prospect,9.0509,-2.3818,
Northern,Manganese,Bele Manganese Occurrence,9.3539,-0.9712,
Northern,Manganese,Tindongo Manganese Occurrence,9.3539,-0.9712,
Northern,Manganese,Nangruma Manganese Occurrence,9.3539,-0.9712,
Northern,Manganese,Belong Manganese Occurrence,9.3539,-0.9712,
Northern,Manganese,Pwalugu Manganese Occurrence,9.3539,-0.9712,
Northern,Manganese,Pongo Manganese Occurrence,9.3539,-0.9712,
Northern,Manganese,Bakadokwi Manganese Occurrence,9.3539,-0.9712,
Northern,Manganese,Kambale Manganese Occurrence,9.3539,-0.9712,
Northern,Manganese,Hapa Manganese Occurrence,9.3539,-0.9712,
Northern,Manganese,Wiaga Manganese Occurrence,9.3539,-0.9712,
Eastern,Aluminium,Kibi Atewa Aluminum Prospect,6.1344,-0.5485,
Eastern,Diamond,"Akwatia mine, Birim diamond field",6.03611,-0.80972,Paramount Mining Corporation
Eastern,Diamond,Nyafomang diamond field,6.33333,-1,
Eastern,Gold,"Akyem mine, Birim North district",6.35287,-1.01944,Newmont Gold Ghana
Eastern,Gold,"Akosombo, Asuogyaman District",6.26656,0.04451,
Eastern,Gold,Goldenrae Alluvial Project,6.2511,-0.6235,
Eastern,Iron,Atiwa Range,6.4049,-0.4239,
Eastern,Manganese,Inghuma Bepo Manganese Occurrence,6.4049,-0.4239,
Eastern,Manganese,Birrinsim Manganese Occurrence,6.4049,-0.4239,
Eastern,Manganese,Pawm Pawm River Manganese Occurrence,6.4049,-0.4239,
Eastern,Manganese,Atiwa Range,6.4049,-0.4239,
Eastern,Silver,Goldenrae Alluvial Project,6.2511,-0.6235,
Central,Gold,"Mankwadzi, Winneba, Awutu Efutu Senya district",5.31667,-0.68333,
Central,Gold,Bokitiso Concession Ayanfuri Gold Prospect,5.9178,-1.7568,Perseus mining
Central,Aluminium,Bauxite Ghana Aluminum Occurrence,5.3345,-0.7485,
Central,Copper,Winneba Platinum Occurrence,5.3692,-1.1655,
Central,Copper,Unnamed Copper Occurrence,5.5011,-1.4985,
Central,Manganese,Chichiwere-Tinte Hills Manganese Occurrence,6.6178,-2.0818,
Central,Nickel,Winneba Platinum Occurrence,5.3692,-1.1655,
Greater Accra,Aluminium,Tema Smelter,5.6678,-0.0152,
Upper West,Gold,"Butele deposit, Wa gold district",10.12344,-2.75721,
Upper West,Gold,"Josephine deposit,Wa gold district ",9.9717,-2.36256,
Upper West,Gold,"Kjerski deposit, Wa gold district",10.15595,-2.1832,
Upper West,Gold,"Julie West deposit, Wa gold district",10.202,-2.1178,
Upper West,Gold,"Colette deposit, Wa gold district",10.17406,-1.97408,
Upper West,Gold,"Julie deposit, Wa gold district",10.11416,-2.09638,
Volta,Gold,Worawora,7.51325,0.37383,
